event_id,best_rank,n_segments,n_rows,scored_that_day,date,tier,source,hazard,max_score,mean_conf,min_snap_m
GLC-218,1.0,20,60,20,2007-08-29,bronze,coolr_glc,landslide,0.38666666666666666,0.4649983333333333,231.1
GLC-2116,1.0,20,60,94,2010-07-22,bronze,coolr_glc,landslide,0.3294117647058824,0.4671033333333333,121.8
GLC-210,1.0,20,60,57,2007-08-25,bronze,coolr_glc,landslide,0.38666666666666666,0.49339,270.5
GLC-614,1.0,20,60,69,2008-06-29,silver,coolr_glc,landslide,0.35106382978723405,0.7799966666666667,485.4
GLC-1963,1.0,20,60,57,2010-06-11,bronze,coolr_glc,landslide,0.453125,0.41351666666666664,182.2
GLC-620,1.0,20,60,69,2008-06-30,silver,coolr_glc,landslide,0.38666666666666666,0.7803933333333333,151.0
GLC-6782,1.0,2,6,39,2011-09-28,silver,coolr_glc,landslide,0.27438393042037695,0.5196333333333333,9.9
GLC-9950,1.0,20,60,48,2016-09-02,bronze,coolr_glc,landslide,0.3382352941176471,0.400355,3605.3
GLC-9918,1.0,20,60,50,2017-06-30,bronze,coolr_glc,landslide,0.27438393042037695,0.4687383333333333,558.5
GLC-9741,1.0,20,60,56,2017-06-05,bronze,coolr_glc,landslide,0.2970760233918128,0.4419283333333333,194.0
GLC-9617,1.0,20,60,89,2016-10-15,silver,coolr_glc,landslide,0.8095238095238095,0.7885183333333334,282.3
GLC-9603,1.0,20,60,87,2016-10-12,bronze,coolr_glc,landslide,0.8666666666666667,0.454445,243.4
GLC-9587,1.0,20,60,87,2016-10-12,bronze,coolr_glc,landslide,0.8666666666666667,0.4133316666666667,806.5
GLC-9138,1.0,4,12,37,2016-07-21,silver,coolr_glc,landslide,0.8666666666666667,0.8423916666666668,121.1
GLC-9012,1.0,20,60,58,2016-07-15,bronze,coolr_glc,mudslide,0.2978723404255319,0.45913833333333337,833.5
GLC-770,1.0,20,60,51,2008-09-02,bronze,coolr_glc,landslide,0.27438393042037695,0.2717616666666667,13555.2
GLC-763,1.0,20,60,40,2008-08-29,bronze,coolr_glc,landslide,0.3247422680412371,0.400175,1965.0
GLC-7363,1.0,20,60,163,2015-06-30,bronze,coolr_glc,landslide,0.38666666666666666,0.44694,34.4
GLC-7138,1.0,20,60,77,2015-07-07,silver,coolr_glc,landslide,0.453125,0.8129133333333333,334.2
GLC-7076,1.0,5,15,54,2015-07-04,silver,coolr_glc,landslide,0.3382352941176471,0.6339533333333333,233.9
GLC-7075,1.0,20,60,163,2015-06-30,bronze,coolr_glc,landslide,0.38666666666666666,0.47371166666666664,43.5
GLC-7037,1.0,20,60,163,2015-07-01,silver,coolr_glc,landslide,0.8666666666666667,0.8347300000000001,193.1
GLC-7036,1.0,20,60,163,2015-07-01,silver,coolr_glc,landslide,0.8666666666666667,0.7470033333333334,622.8
GLC-7021,1.0,12,36,42,2015-06-27,silver,coolr_glc,landslide,0.2970760233918128,0.5265666666666666,124.6
GLC-6979,1.0,20,60,63,2015-06-11,silver,coolr_glc,landslide,0.3247422680412371,0.8431633333333334,18.4
GLC-6967,1.0,5,15,63,2015-06-13,silver,coolr_glc,landslide,0.2970760233918128,0.47329333333333334,456.3
GLC-657,1.0,20,60,55,2008-07-22,bronze,coolr_glc,landslide,0.453125,0.415985,3741.4
